frame_index,source_time_s,bbox_xywh,update_s,decode_s,calibrated_confidence,guarded_states,guarded_events,localization_accepted
31,0.62,"[308.0, 58.0, 272.0, 274.0]",0.01785199996083975,0.00017620797734707594,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36065573770491804, 0.12083333333333333, 0.6791569086651054, 0.6916666666666667], 'timestamp': 0.62, 'evidence_id': 'ego:32', 'visibility': 'visible', 'confidence': 0.7839991908024218, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2160008091975782, 'visible_fraction': 1.0, 'relative_motion': 0.000848358236276577, 'camera_compensated': True, 'total_area_ratio': 1.1285281729785797}]",[],True
32,0.64,"[310.0, 62.00000000000001, 266.0, 268.0]",0.017531457997392863,0.00018020899733528495,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3629976580796253, 0.12916666666666668, 0.6744730679156908, 0.6875], 'timestamp': 0.64, 'evidence_id': 'ego:33', 'visibility': 'visible', 'confidence': 0.7915541035931739, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.20844589640682604, 'visible_fraction': 1.0, 'relative_motion': 0.001073549844754274, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
33,0.66,"[308.0, 62.00000000000001, 266.0, 268.0]",0.017826583003625274,0.00022366602206602693,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.36065573770491804, 0.12916666666666668, 0.6721311475409836, 0.6875], 'timestamp': 0.66, 'evidence_id': 'ego:34', 'visibility': 'visible', 'confidence': 0.7841922838579414, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.21580771614205868, 'visible_fraction': 1.0, 'relative_motion': 0.0026034240204619893, 'camera_compensated': True, 'total_area_ratio': 1.0794669975753675}]",[],True
34,0.68,"[306.0, 68.0, 262.0, 264.0]",0.016774291987530887,0.00018320797244086862,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3583138173302108, 0.14166666666666666, 0.6651053864168618, 0.6916666666666667], 'timestamp': 0.68, 'evidence_id': 'ego:35', 'visibility': 'visible', 'confidence': 0.7828654965686649, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2171345034313351, 'visible_fraction': 1.0, 'relative_motion': 0.004970139318336755, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
35,0.7000000000000001,"[300.0, 70.0, 262.0, 264.0]",0.017683458980172873,0.00026845798129215837,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.14583333333333334, 0.65807962529274, 0.6958333333333333], 'timestamp': 0.7, 'evidence_id': 'ego:36', 'visibility': 'visible', 'confidence': 0.7665814263814227, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2334185736185773, 'visible_fraction': 1.0, 'relative_motion': 0.0033804215072201415, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300556}]",[],True
36,0.72,"[296.0, 70.0, 262.0, 264.0]",0.017071291978936642,0.00025224999990314245,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.34660421545667447, 0.14583333333333334, 0.6533957845433255, 0.6958333333333333], 'timestamp': 0.72, 'evidence_id': 'ego:37', 'visibility': 'visible', 'confidence': 0.7775173794328093, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.22248262056719068, 'visible_fraction': 1.0, 'relative_motion': 0.0032379568529143686, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300556}]",[],True
37,0.74,"[290.0, 72.0, 262.0, 264.0]",0.01763270900119096,0.00017954199574887753,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3395784543325527, 0.15, 0.6463700234192038, 0.7], 'timestamp': 0.74, 'evidence_id': 'ego:38', 'visibility': 'visible', 'confidence': 0.7510756035845363, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.24892439641546377, 'visible_fraction': 1.0, 'relative_motion': 0.0028577977377705777, 'camera_compensated': True, 'total_area_ratio': 1.047365240830056}]",[],True
38,0.76,"[286.0, 76.0, 256.0, 258.0]",0.017491665959823877,0.00022854201961308718,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.33489461358313816, 0.15833333333333333, 0.6346604215456675, 0.6958333333333333], 'timestamp': 0.76, 'evidence_id': 'ego:39', 'visibility': 'visible', 'confidence': 0.7570782566757515, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2429217433242486, 'visible_fraction': 1.0, 'relative_motion': 0.0030708824135833724, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973331}]",[],True
39,0.78,"[278.0, 76.0, 256.0, 258.0]",0.018287749961018562,0.00024320901138707995,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3255269320843091, 0.15833333333333333, 0.6252927400468384, 0.6958333333333333], 'timestamp': 0.78, 'evidence_id': 'ego:40', 'visibility': 'visible', 'confidence': 0.7248807852633694, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2751192147366306, 'visible_fraction': 1.0, 'relative_motion': 0.005306588279447388, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973331}]",[],True
40,0.8,"[268.0, 78.0, 262.0, 264.0]",0.018047166988253593,0.00021799997193738818,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.31381733021077285, 0.1625, 0.6206088992974239, 0.7125], 'timestamp': 0.8, 'evidence_id': 'ego:41', 'visibility': 'visible', 'confidence': 0.7387659447762438, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.26123405522375615, 'visible_fraction': 1.0, 'relative_motion': 0.005740907683017851, 'camera_compensated': True, 'total_area_ratio': 1.047365240830056}]",[],True
